,ID_COMPTE,MT_VM,PC_GAR_ECH,MT_GAR_ECH,PC_GAR_DECES,FREQ_RESET_DECES,MAX_RESET_DECES,MT_GAR_DECES,PC_REVENU_FDS,PC_HONORAIRES_GEST,TX_COMM_VENTE,TX_COMM_MAINTIEN,FRAIS_ACQUI,FRAIS_ADMIN,age_deb
120,121,35353.0,0.75,26515.0,1.0,99,999,35353.0,0.02,0.003,0.03,0.008,900.0,100.0,42
121,122,55109.0,0.75,41332.0,1.0,99,999,55109.0,0.02,0.003,0.03,0.008,900.0,100.0,16
122,123,15208.0,0.75,11406.0,1.0,99,999,15208.0,0.02,0.003,0.03,0.008,900.0,100.0,48
123,124,23182.0,0.75,17386.0,1.0,99,999,23182.0,0.02,0.003,0.03,0.008,900.0,100.0,42
124,125,31009.0,0.75,23256.0,1.0,99,999,31009.0,0.02,0.003,0.03,0.008,900.0,100.0,3
125,126,66776.0,0.75,50082.0,1.0,99,999,66776.0,0.02,0.003,0.03,0.008,900.0,100.0,32
126,127,67307.0,0.75,50480.0,1.0,99,999,67307.0,0.02,0.003,0.03,0.008,900.0,100.0,13
127,128,38178.0,0.75,28633.0,1.0,99,999,38178.0,0.02,0.003,0.03,0.008,900.0,100.0,2
128,129,49850.0,0.75,37387.0,1.0,99,999,49850.0,0.02,0.003,0.03,0.008,900.0,100.0,57
129,130,32275.0,0.75,24206.0,1.0,99,999,32275.0,0.02,0.003,0.03,0.008,900.0,100.0,90
130,131,81960.0,0.75,61470.0,1.0,99,999,81960.0,0.02,0.003,0.03,0.008,900.0,100.0,11
131,132,45977.0,0.75,34483.0,1.0,99,999,45977.0,0.02,0.003,0.03,0.008,900.0,100.0,42
132,133,7619.0,0.75,5715.0,1.0,99,999,7619.0,0.02,0.003,0.03,0.008,900.0,100.0,46
133,134,46365.0,0.75,34774.0,1.0,99,999,46365.0,0.02,0.003,0.03,0.008,900.0,100.0,99
134,135,84354.0,0.75,63266.0,1.0,99,999,84354.0,0.02,0.003,0.03,0.008,900.0,100.0,7
135,136,87659.0,0.75,65744.0,1.0,99,999,87659.0,0.02,0.003,0.03,0.008,900.0,100.0,71
136,137,43825.0,0.75,32869.0,1.0,99,999,43825.0,0.02,0.003,0.03,0.008,900.0,100.0,17
137,138,37985.0,0.75,28489.0,1.0,99,999,37985.0,0.02,0.003,0.03,0.008,900.0,100.0,76
138,139,27745.0,0.75,20809.0,1.0,99,999,27745.0,0.02,0.003,0.03,0.008,900.0,100.0,90
139,140,51748.0,0.75,38811.0,1.0,99,999,51748.0,0.02,0.003,0.03,0.008,900.0,100.0,84
140,141,56301.0,0.75,42226.0,1.0,99,999,56301.0,0.02,0.003,0.03,0.008,900.0,100.0,20
141,142,41832.0,0.75,31374.0,1.0,99,999,41832.0,0.02,0.003,0.03,0.008,900.0,100.0,29
142,143,82790.0,0.75,62092.0,1.0,99,999,82790.0,0.02,0.003,0.03,0.008,900.0,100.0,94
143,144,23467.0,0.75,17600.0,1.0,99,999,23467.0,0.02,0.003,0.03,0.008,900.0,100.0,49
144,145,43380.0,0.75,32535.0,1.0,99,999,43380.0,0.02,0.003,0.03,0.008,900.0,100.0,7
145,146,65364.0,0.75,49023.0,1.0,99,999,65364.0,0.02,0.003,0.03,0.008,900.0,100.0,93
146,147,21327.0,0.75,15995.0,1.0,99,999,21327.0,0.02,0.003,0.03,0.008,900.0,100.0,74
147,148,80415.0,0.75,60311.0,1.0,99,999,80415.0,0.02,0.003,0.03,0.008,900.0,100.0,87
148,149,43696.0,0.75,32772.0,1.0,99,999,43696.0,0.02,0.003,0.03,0.008,900.0,100.0,32
149,150,80655.0,0.75,60492.0,1.0,99,999,80655.0,0.02,0.003,0.03,0.008,900.0,100.0,23
150,151,40983.0,0.75,30737.0,1.0,99,999,40983.0,0.02,0.003,0.03,0.008,900.0,100.0,45
151,152,42459.0,0.75,31844.0,1.0,99,999,42459.0,0.02,0.003,0.03,0.008,900.0,100.0,20
152,153,45810.0,0.75,34358.0,1.0,99,999,45810.0,0.02,0.003,0.03,0.008,900.0,100.0,18
153,154,62625.0,0.75,46969.0,1.0,99,999,62625.0,0.02,0.003,0.03,0.008,900.0,100.0,81
154,155,48822.0,0.75,36617.0,1.0,99,999,48822.0,0.02,0.003,0.03,0.008,900.0,100.0,49
155,156,29033.0,0.75,21774.0,1.0,99,999,29033.0,0.02,0.003,0.03,0.008,900.0,100.0,97
156,157,39937.0,0.75,29953.0,1.0,99,999,39937.0,0.02,0.003,0.03,0.008,900.0,100.0,11
157,158,33190.0,0.75,24892.0,1.0,99,999,33190.0,0.02,0.003,0.03,0.008,900.0,100.0,91
158,159,89436.0,0.75,67077.0,1.0,99,999,89436.0,0.02,0.003,0.03,0.008,900.0,100.0,27
159,160,98646.0,0.75,73984.0,1.0,99,999,98646.0,0.02,0.003,0.03,0.008,900.0,100.0,47
160,161,55715.0,0.75,41786.0,1.0,99,999,55715.0,0.02,0.003,0.03,0.008,900.0,100.0,1
161,162,98169.0,0.75,73626.0,1.0,99,999,98169.0,0.02,0.003,0.03,0.008,900.0,100.0,15
162,163,46864.0,0.75,35148.0,1.0,99,999,46864.0,0.02,0.003,0.03,0.008,900.0,100.0,40
163,164,68707.0,0.75,51530.0,1.0,99,999,68707.0,0.02,0.003,0.03,0.008,900.0,100.0,99
164,165,5656.0,0.75,4242.0,1.0,99,999,5656.0,0.02,0.003,0.03,0.008,900.0,100.0,30
165,166,74176.0,0.75,55632.0,1.0,99,999,74176.0,0.02,0.003,0.03,0.008,900.0,100.0,22
166,167,63379.0,0.75,47534.0,1.0,99,999,63379.0,0.02,0.003,0.03,0.008,900.0,100.0,79
167,168,27401.0,0.75,20551.0,1.0,99,999,27401.0,0.02,0.003,0.03,0.008,900.0,100.0,25
168,169,16709.0,0.75,12532.0,1.0,99,999,16709.0,0.02,0.003,0.03,0.008,900.0,100.0,84
169,170,43310.0,0.75,32483.0,1.0,99,999,43310.0,0.02,0.003,0.03,0.008,900.0,100.0,39
170,171,13339.0,0.75,10004.0,1.0,99,999,13339.0,0.02,0.003,0.03,0.008,900.0,100.0,7
171,172,1027.0,0.75,770.0,1.0,99,999,1027.0,0.02,0.003,0.03,0.008,900.0,100.0,78
172,173,13147.0,0.75,9860.0,1.0,99,999,13147.0,0.02,0.003,0.03,0.008,900.0,100.0,91
173,174,53613.0,0.75,40210.0,1.0,99,999,53613.0,0.02,0.003,0.03,0.008,900.0,100.0,14
174,175,22167.0,0.75,16625.0,1.0,99,999,22167.0,0.02,0.003,0.03,0.008,900.0,100.0,68
175,176,6314.0,0.75,4736.0,1.0,99,999,6314.0,0.02,0.003,0.03,0.008,900.0,100.0,36
176,177,2661.0,0.75,1996.0,1.0,99,999,2661.0,0.02,0.003,0.03,0.008,900.0,100.0,31
177,178,33820.0,0.75,25365.0,1.0,99,999,33820.0,0.02,0.003,0.03,0.008,900.0,100.0,77
178,179,80278.0,0.75,60208.0,1.0,99,999,80278.0,0.02,0.003,0.03,0.008,900.0,100.0,60
179,180,21162.0,0.75,15871.0,1.0,99,999,21162.0,0.02,0.003,0.03,0.008,900.0,100.0,57
180,181,96723.0,0.75,72543.0,1.0,99,999,96723.0,0.02,0.003,0.03,0.008,900.0,100.0,10
181,182,56148.0,0.75,42111.0,1.0,99,999,56148.0,0.02,0.003,0.03,0.008,900.0,100.0,71
182,183,53589.0,0.75,40192.0,1.0,99,999,53589.0,0.02,0.003,0.03,0.008,900.0,100.0,75
183,184,4558.0,0.75,3419.0,1.0,99,999,4558.0,0.02,0.003,0.03,0.008,900.0,100.0,44
184,185,67797.0,0.75,50848.0,1.0,99,999,67797.0,0.02,0.003,0.03,0.008,900.0,100.0,40
185,186,39476.0,0.75,29607.0,1.0,99,999,39476.0,0.02,0.003,0.03,0.008,900.0,100.0,76
186,187,41484.0,0.75,31113.0,1.0,99,999,41484.0,0.02,0.003,0.03,0.008,900.0,100.0,30
187,188,67379.0,0.75,50534.0,1.0,99,999,67379.0,0.02,0.003,0.03,0.008,900.0,100.0,12
188,189,63165.0,0.75,47374.0,1.0,99,999,63165.0,0.02,0.003,0.03,0.008,900.0,100.0,65
189,190,95971.0,0.75,71978.0,1.0,99,999,95971.0,0.02,0.003,0.03,0.008,900.0,100.0,78
190,191,56022.0,0.75,42016.0,1.0,99,999,56022.0,0.02,0.003,0.03,0.008,900.0,100.0,1
191,192,78737.0,0.75,59052.0,1.0,99,999,78737.0,0.02,0.003,0.03,0.008,900.0,100.0,31
192,193,20560.0,0.75,15420.0,1.0,99,999,20560.0,0.02,0.003,0.03,0.008,900.0,100.0,94
193,194,32566.0,0.75,24424.0,1.0,99,999,32566.0,0.02,0.003,0.03,0.008,900.0,100.0,17
194,195,83248.0,0.75,62436.0,1.0,99,999,83248.0,0.02,0.003,0.03,0.008,900.0,100.0,39
195,196,61196.0,0.75,45897.0,1.0,99,999,61196.0,0.02,0.003,0.03,0.008,900.0,100.0,50
196,197,83301.0,0.75,62476.0,1.0,99,999,83301.0,0.02,0.003,0.03,0.008,900.0,100.0,23
197,198,57790.0,0.75,43342.0,1.0,99,999,57790.0,0.02,0.003,0.03,0.008,900.0,100.0,28
198,199,73389.0,0.75,55042.0,1.0,99,999,73389.0,0.02,0.003,0.03,0.008,900.0,100.0,52
199,200,34509.0,0.75,25882.0,1.0,99,999,34509.0,0.02,0.003,0.03,0.008,900.0,100.0,81
200,201,50545.0,1.0,50545.0,1.0,1,80,50545.0,0.022000000000000002,0.003,0.03,0.008,900.0,100.0,64
201,202,3475.0,1.0,3475.0,1.0,1,80,3475.0,0.022000000000000002,0.003,0.03,0.008,900.0,100.0,47
202,203,85987.0,1.0,85987.0,1.0,1,80,85987.0,0.022000000000000002,0.003,0.03,0.008,900.0,100.0,85
203,204,90892.0,1.0,90892.0,1.0,1,80,90892.0,0.022000000000000002,0.003,0.03,0.008,900.0,100.0,93
204,205,78770.0,1.0,78770.0,1.0,1,80,78770.0,0.022000000000000002,0.003,0.03,0.008,900.0,100.0,73
205,206,86353.0,1.0,86353.0,1.0,1,80,86353.0,0.022000000000000002,0.003,0.03,0.008,900.0,100.0,87
206,207,67761.0,1.0,67761.0,1.0,1,80,67761.0,0.022000000000000002,0.003,0.03,0.008,900.0,100.0,30
207,208,31921.0,1.0,31921.0,1.0,1,80,31921.0,0.022000000000000002,0.003,0.03,0.008,900.0,100.0,29
208,209,55460.0,1.0,55460.0,1.0,1,80,55460.0,0.022000000000000002,0.003,0.03,0.008,900.0,100.0,30
209,210,15227.0,1.0,15227.0,1.0,1,80,15227.0,0.022000000000000002,0.003,0.03,0.008,900.0,100.0,75
210,211,8077.0,1.0,8077.0,1.0,1,80,8077.0,0.022000000000000002,0.003,0.03,0.008,900.0,100.0,89
211,212,52462.0,1.0,52462.0,1.0,1,80,52462.0,0.022000000000000002,0.003,0.03,0.008,900.0,100.0,39
212,213,54581.0,1.0,54581.0,1.0,1,80,54581.0,0.022000000000000002,0.003,0.03,0.008,900.0,100.0,8
213,214,87670.0,1.0,87670.0,1.0,1,80,87670.0,0.022000000000000002,0.003,0.03,0.008,900.0,100.0,25
214,215,49432.0,1.0,49432.0,1.0,1,80,49432.0,0.022000000000000002,0.003,0.03,0.008,900.0,100.0,55
215,216,87119.0,1.0,87119.0,1.0,1,80,87119.0,0.022000000000000002,0.003,0.03,0.008,900.0,100.0,82
216,217,78578.0,1.0,78578.0,1.0,1,80,78578.0,0.022000000000000002,0.003,0.03,0.008,900.0,100.0,36
217,218,70056.0,1.0,70056.0,1.0,1,80,70056.0,0.022000000000000002,0.003,0.03,0.008,900.0,100.0,37
218,219,19420.0,1.0,19420.0,1.0,1,80,19420.0,0.022000000000000002,0.003,0.03,0.008,900.0,100.0,69
219,220,56729.0,1.0,56729.0,1.0,1,80,56729.0,0.022000000000000002,0.003,0.03,0.008,900.0,100.0,28
220,221,33673.0,1.0,33673.0,1.0,1,80,33673.0,0.022000000000000002,0.003,0.03,0.008,900.0,100.0,29
221,222,36787.0,1.0,36787.0,1.0,1,80,36787.0,0.022000000000000002,0.003,0.03,0.008,900.0,100.0,4
222,223,65199.0,1.0,65199.0,1.0,1,80,65199.0,0.022000000000000002,0.003,0.03,0.008,900.0,100.0,52
223,224,90091.0,1.0,90091.0,1.0,1,80,90091.0,0.022000000000000002,0.003,0.03,0.008,900.0,100.0,98
224,225,22306.0,1.0,22306.0,1.0,1,80,22306.0,0.022000000000000002,0.003,0.03,0.008,900.0,100.0,51
225,226,10091.0,1.0,10091.0,1.0,1,80,10091.0,0.022000000000000002,0.003,0.03,0.008,900.0,100.0,8
226,227,82275.0,1.0,82275.0,1.0,1,80,82275.0,0.022000000000000002,0.003,0.03,0.008,900.0,100.0,10
227,228,67759.0,1.0,67759.0,1.0,1,80,67759.0,0.022000000000000002,0.003,0.03,0.008,900.0,100.0,3
