ID_COMPTE,MT_VM,PC_GAR_ECH,MT_GAR_ECH,PC_GAR_DECES,FREQ_RESET_DECES,MAX_RESET_DECES,MT_GAR_DECES,PC_REVENU_FDS,PC_HONORAIRES_GEST,TX_COMM_VENTE,TX_COMM_MAINTIEN,FRAIS_ACQUI,FRAIS_ADMIN,age_deb
64,"$28,783",100%,"$28,783",100%,1,80,"$28,783",2.20%,0.30%,3.00%,0.80%,$900,$100,95
65,"$30,008",100%,"$30,008",100%,1,80,"$30,008",2.20%,0.30%,3.00%,0.80%,$900,$100,99
66,"$71,812",100%,"$71,812",100%,1,80,"$71,812",2.20%,0.30%,3.00%,0.80%,$900,$100,9
67,"$26,848",100%,"$26,848",100%,1,80,"$26,848",2.20%,0.30%,3.00%,0.80%,$900,$100,61
68,"$6,103",100%,"$6,103",100%,1,80,"$6,103",2.20%,0.30%,3.00%,0.80%,$900,$100,32
69,"$21,384",100%,"$21,384",100%,1,80,"$21,384",2.20%,0.30%,3.00%,0.80%,$900,$100,15
70,"$42,805",100%,"$42,805",100%,1,80,"$42,805",2.20%,0.30%,3.00%,0.80%,$900,$100,35
71,"$21,336",100%,"$21,336",100%,1,80,"$21,336",2.20%,0.30%,3.00%,0.80%,$900,$100,65
72,"$26,242",100%,"$26,242",100%,1,80,"$26,242",2.20%,0.30%,3.00%,0.80%,$900,$100,90
73,"$67,244",100%,"$67,244",100%,1,80,"$67,244",2.20%,0.30%,3.00%,0.80%,$900,$100,1
74,"$11,609",100%,"$11,609",100%,1,80,"$11,609",2.20%,0.30%,3.00%,0.80%,$900,$100,12
75,"$88,228",100%,"$88,228",100%,1,80,"$88,228",2.20%,0.30%,3.00%,0.80%,$900,$100,48
76,$465,100%,$465,100%,1,80,$465,2.20%,0.30%,3.00%,0.80%,$900,$100,19
77,"$24,094",100%,"$24,094",100%,1,80,"$24,094",2.20%,0.30%,3.00%,0.80%,$900,$100,22
78,"$39,320",100%,"$39,320",100%,1,80,"$39,320",2.20%,0.30%,3.00%,0.80%,$900,$100,72
79,"$66,453",100%,"$66,453",100%,1,80,"$66,453",2.20%,0.30%,3.00%,0.80%,$900,$100,67
80,"$18,410",100%,"$18,410",100%,1,80,"$18,410",2.20%,0.30%,3.00%,0.80%,$900,$100,1
81,"$2,416",100%,"$2,416",100%,1,80,"$2,416",2.20%,0.30%,3.00%,0.80%,$900,$100,49
82,"$96,971",100%,"$96,971",100%,1,80,"$96,971",2.20%,0.30%,3.00%,0.80%,$900,$100,18
83,"$53,731",100%,"$53,731",100%,1,80,"$53,731",2.20%,0.30%,3.00%,0.80%,$900,$100,15
84,"$24,122",100%,"$24,122",100%,1,80,"$24,122",2.20%,0.30%,3.00%,0.80%,$900,$100,4
85,"$2,394",100%,"$2,394",100%,1,80,"$2,394",2.20%,0.30%,3.00%,0.80%,$900,$100,94
86,"$84,975",100%,"$84,975",100%,1,80,"$84,975",2.20%,0.30%,3.00%,0.80%,$900,$100,43
87,"$44,570",100%,"$44,570",100%,1,80,"$44,570",2.20%,0.30%,3.00%,0.80%,$900,$100,79
88,"$70,538",100%,"$70,538",100%,1,80,"$70,538",2.20%,0.30%,3.00%,0.80%,$900,$100,49
89,"$7,259",100%,"$7,259",100%,1,80,"$7,259",2.20%,0.30%,3.00%,0.80%,$900,$100,96
90,"$26,622",100%,"$26,622",100%,1,80,"$26,622",2.20%,0.30%,3.00%,0.80%,$900,$100,17
91,"$42,181",100%,"$42,181",100%,1,80,"$42,181",2.20%,0.30%,3.00%,0.80%,$900,$100,38
92,"$57,858",100%,"$57,858",100%,1,80,"$57,858",2.20%,0.30%,3.00%,0.80%,$900,$100,69
93,$280,100%,$280,100%,1,80,$280,2.20%,0.30%,3.00%,0.80%,$900,$100,60
94,"$32,857",100%,"$32,857",100%,1,80,"$32,857",2.20%,0.30%,3.00%,0.80%,$900,$100,40
95,"$23,190",100%,"$23,190",100%,1,80,"$23,190",2.20%,0.30%,3.00%,0.80%,$900,$100,30
96,"$89,429",100%,"$89,429",100%,1,80,"$89,429",2.20%,0.30%,3.00%,0.80%,$900,$100,98
97,"$56,114",100%,"$56,114",100%,1,80,"$56,114",2.20%,0.30%,3.00%,0.80%,$900,$100,9
98,"$13,988",100%,"$13,988",100%,1,80,"$13,988",2.20%,0.30%,3.00%,0.80%,$900,$100,1
99,"$58,025",100%,"$58,025",100%,1,80,"$58,025",2.20%,0.30%,3.00%,0.80%,$900,$100,39
100,"$30,952",100%,"$30,952",100%,1,80,"$30,952",2.20%,0.30%,3.00%,0.80%,$900,$100,95
101,"$84,845",75%,"$63,634",100%,99,999,"$84,845",2.00%,0.30%,3.00%,0.80%,$900,$100,22
102,"$54,587",75%,"$40,940",100%,99,999,"$54,587",2.00%,0.30%,3.00%,0.80%,$900,$100,26
103,"$6,658",75%,"$4,994",100%,99,999,"$6,658",2.00%,0.30%,3.00%,0.80%,$900,$100,1
104,"$46,471",75%,"$34,853",100%,99,999,"$46,471",2.00%,0.30%,3.00%,0.80%,$900,$100,27
105,"$89,744",75%,"$67,308",100%,99,999,"$89,744",2.00%,0.30%,3.00%,0.80%,$900,$100,57
106,"$14,139",75%,"$10,604",100%,99,999,"$14,139",2.00%,0.30%,3.00%,0.80%,$900,$100,89
107,"$86,685",75%,"$65,014",100%,99,999,"$86,685",2.00%,0.30%,3.00%,0.80%,$900,$100,79
108,"$56,227",75%,"$42,170",100%,99,999,"$56,227",2.00%,0.30%,3.00%,0.80%,$900,$100,48
109,"$39,183",75%,"$29,387",100%,99,999,"$39,183",2.00%,0.30%,3.00%,0.80%,$900,$100,74
110,"$99,886",75%,"$74,914",100%,99,999,"$99,886",2.00%,0.30%,3.00%,0.80%,$900,$100,8
111,"$15,487",75%,"$11,616",100%,99,999,"$15,487",2.00%,0.30%,3.00%,0.80%,$900,$100,94
112,"$16,769",75%,"$12,577",100%,99,999,"$16,769",2.00%,0.30%,3.00%,0.80%,$900,$100,59
113,"$73,531",75%,"$55,149",100%,99,999,"$73,531",2.00%,0.30%,3.00%,0.80%,$900,$100,4
114,"$7,732",75%,"$5,799",100%,99,999,"$7,732",2.00%,0.30%,3.00%,0.80%,$900,$100,41
115,"$68,157",75%,"$51,118",100%,99,999,"$68,157",2.00%,0.30%,3.00%,0.80%,$900,$100,64
116,"$5,995",75%,"$4,496",100%,99,999,"$5,995",2.00%,0.30%,3.00%,0.80%,$900,$100,76
117,"$27,127",75%,"$20,345",100%,99,999,"$27,127",2.00%,0.30%,3.00%,0.80%,$900,$100,70
118,"$39,787",75%,"$29,840",100%,99,999,"$39,787",2.00%,0.30%,3.00%,0.80%,$900,$100,11
119,"$27,003",75%,"$20,253",100%,99,999,"$27,003",2.00%,0.30%,3.00%,0.80%,$900,$100,13
120,"$12,633",75%,"$9,474",100%,99,999,"$12,633",2.00%,0.30%,3.00%,0.80%,$900,$100,28
121,"$35,353",75%,"$26,515",100%,99,999,"$35,353",2.00%,0.30%,3.00%,0.80%,$900,$100,42
122,"$55,109",75%,"$41,332",100%,99,999,"$55,109",2.00%,0.30%,3.00%,0.80%,$900,$100,16
123,"$15,208",75%,"$11,406",100%,99,999,"$15,208",2.00%,0.30%,3.00%,0.80%,$900,$100,48
124,"$23,182",75%,"$17,386",100%,99,999,"$23,182",2.00%,0.30%,3.00%,0.80%,$900,$100,42
125,"$31,009",75%,"$23,256",100%,99,999,"$31,009",2.00%,0.30%,3.00%,0.80%,$900,$100,3
126,"$66,776",75%,"$50,082",100%,99,999,"$66,776",2.00%,0.30%,3.00%,0.80%,$900,$100,32
127,"$67,307",75%,"$50,480",100%,99,999,"$67,307",2.00%,0.30%,3.00%,0.80%,$900,$100,13
128,"$38,178",75%,"$28,633",100%,99,999,"$38,178",2.00%,0.30%,3.00%,0.80%,$900,$100,2
129,"$49,850",75%,"$37,387",100%,99,999,"$49,850",2.00%,0.30%,3.00%,0.80%,$900,$100,57
130,"$32,275",75%,"$24,206",100%,99,999,"$32,275",2.00%,0.30%,3.00%,0.80%,$900,$100,90
131,"$81,960",75%,"$61,470",100%,99,999,"$81,960",2.00%,0.30%,3.00%,0.80%,$900,$100,11
132,"$45,977",75%,"$34,483",100%,99,999,"$45,977",2.00%,0.30%,3.00%,0.80%,$900,$100,42
133,"$7,619",75%,"$5,715",100%,99,999,"$7,619",2.00%,0.30%,3.00%,0.80%,$900,$100,46
134,"$46,365",75%,"$34,774",100%,99,999,"$46,365",2.00%,0.30%,3.00%,0.80%,$900,$100,99
135,"$84,354",75%,"$63,266",100%,99,999,"$84,354",2.00%,0.30%,3.00%,0.80%,$900,$100,7
136,"$87,659",75%,"$65,744",100%,99,999,"$87,659",2.00%,0.30%,3.00%,0.80%,$900,$100,71
137,"$43,825",75%,"$32,869",100%,99,999,"$43,825",2.00%,0.30%,3.00%,0.80%,$900,$100,17
138,"$37,985",75%,"$28,489",100%,99,999,"$37,985",2.00%,0.30%,3.00%,0.80%,$900,$100,76
139,"$27,745",75%,"$20,809",100%,99,999,"$27,745",2.00%,0.30%,3.00%,0.80%,$900,$100,90
140,"$51,748",75%,"$38,811",100%,99,999,"$51,748",2.00%,0.30%,3.00%,0.80%,$900,$100,84
141,"$56,301",75%,"$42,226",100%,99,999,"$56,301",2.00%,0.30%,3.00%,0.80%,$900,$100,20
142,"$41,832",75%,"$31,374",100%,99,999,"$41,832",2.00%,0.30%,3.00%,0.80%,$900,$100,29
143,"$82,790",75%,"$62,092",100%,99,999,"$82,790",2.00%,0.30%,3.00%,0.80%,$900,$100,94
144,"$23,467",75%,"$17,600",100%,99,999,"$23,467",2.00%,0.30%,3.00%,0.80%,$900,$100,49
145,"$43,380",75%,"$32,535",100%,99,999,"$43,380",2.00%,0.30%,3.00%,0.80%,$900,$100,7
146,"$65,364",75%,"$49,023",100%,99,999,"$65,364",2.00%,0.30%,3.00%,0.80%,$900,$100,93
147,"$21,327",75%,"$15,995",100%,99,999,"$21,327",2.00%,0.30%,3.00%,0.80%,$900,$100,74
148,"$80,415",75%,"$60,311",100%,99,999,"$80,415",2.00%,0.30%,3.00%,0.80%,$900,$100,87
149,"$43,696",75%,"$32,772",100%,99,999,"$43,696",2.00%,0.30%,3.00%,0.80%,$900,$100,32
150,"$80,655",75%,"$60,492",100%,99,999,"$80,655",2.00%,0.30%,3.00%,0.80%,$900,$100,23
151,"$40,983",75%,"$30,737",100%,99,999,"$40,983",2.00%,0.30%,3.00%,0.80%,$900,$100,45
152,"$42,459",75%,"$31,844",100%,99,999,"$42,459",2.00%,0.30%,3.00%,0.80%,$900,$100,20
153,"$45,810",75%,"$34,358",100%,99,999,"$45,810",2.00%,0.30%,3.00%,0.80%,$900,$100,18
154,"$62,625",75%,"$46,969",100%,99,999,"$62,625",2.00%,0.30%,3.00%,0.80%,$900,$100,81
155,"$48,822",75%,"$36,617",100%,99,999,"$48,822",2.00%,0.30%,3.00%,0.80%,$900,$100,49
156,"$29,033",75%,"$21,774",100%,99,999,"$29,033",2.00%,0.30%,3.00%,0.80%,$900,$100,97
157,"$39,937",75%,"$29,953",100%,99,999,"$39,937",2.00%,0.30%,3.00%,0.80%,$900,$100,11
158,"$33,190",75%,"$24,892",100%,99,999,"$33,190",2.00%,0.30%,3.00%,0.80%,$900,$100,91
159,"$89,436",75%,"$67,077",100%,99,999,"$89,436",2.00%,0.30%,3.00%,0.80%,$900,$100,27
160,"$98,646",75%,"$73,984",100%,99,999,"$98,646",2.00%,0.30%,3.00%,0.80%,$900,$100,47
161,"$55,715",75%,"$41,786",100%,99,999,"$55,715",2.00%,0.30%,3.00%,0.80%,$900,$100,1
162,"$98,169",75%,"$73,626",100%,99,999,"$98,169",2.00%,0.30%,3.00%,0.80%,$900,$100,15
163,"$46,864",75%,"$35,148",100%,99,999,"$46,864",2.00%,0.30%,3.00%,0.80%,$900,$100,40
164,"$68,707",75%,"$51,530",100%,99,999,"$68,707",2.00%,0.30%,3.00%,0.80%,$900,$100,99
165,"$5,656",75%,"$4,242",100%,99,999,"$5,656",2.00%,0.30%,3.00%,0.80%,$900,$100,30
166,"$74,176",75%,"$55,632",100%,99,999,"$74,176",2.00%,0.30%,3.00%,0.80%,$900,$100,22
167,"$63,379",75%,"$47,534",100%,99,999,"$63,379",2.00%,0.30%,3.00%,0.80%,$900,$100,79
168,"$27,401",75%,"$20,551",100%,99,999,"$27,401",2.00%,0.30%,3.00%,0.80%,$900,$100,25
169,"$16,709",75%,"$12,532",100%,99,999,"$16,709",2.00%,0.30%,3.00%,0.80%,$900,$100,84
170,"$43,310",75%,"$32,483",100%,99,999,"$43,310",2.00%,0.30%,3.00%,0.80%,$900,$100,39
171,"$13,339",75%,"$10,004",100%,99,999,"$13,339",2.00%,0.30%,3.00%,0.80%,$900,$100,7
172,"$1,027",75%,$770,100%,99,999,"$1,027",2.00%,0.30%,3.00%,0.80%,$900,$100,78
173,"$13,147",75%,"$9,860",100%,99,999,"$13,147",2.00%,0.30%,3.00%,0.80%,$900,$100,91
174,"$53,613",75%,"$40,210",100%,99,999,"$53,613",2.00%,0.30%,3.00%,0.80%,$900,$100,14
175,"$22,167",75%,"$16,625",100%,99,999,"$22,167",2.00%,0.30%,3.00%,0.80%,$900,$100,68
176,"$6,314",75%,"$4,736",100%,99,999,"$6,314",2.00%,0.30%,3.00%,0.80%,$900,$100,36
177,"$2,661",75%,"$1,996",100%,99,999,"$2,661",2.00%,0.30%,3.00%,0.80%,$900,$100,31
178,"$33,820",75%,"$25,365",100%,99,999,"$33,820",2.00%,0.30%,3.00%,0.80%,$900,$100,77
179,"$80,278",75%,"$60,208",100%,99,999,"$80,278",2.00%,0.30%,3.00%,0.80%,$900,$100,60
180,"$21,162",75%,"$15,871",100%,99,999,"$21,162",2.00%,0.30%,3.00%,0.80%,$900,$100,57
181,"$96,723",75%,"$72,543",100%,99,999,"$96,723",2.00%,0.30%,3.00%,0.80%,$900,$100,10
182,"$56,148",75%,"$42,111",100%,99,999,"$56,148",2.00%,0.30%,3.00%,0.80%,$900,$100,71
183,"$53,589",75%,"$40,192",100%,99,999,"$53,589",2.00%,0.30%,3.00%,0.80%,$900,$100,75
184,"$4,558",75%,"$3,419",100%,99,999,"$4,558",2.00%,0.30%,3.00%,0.80%,$900,$100,44
185,"$67,797",75%,"$50,848",100%,99,999,"$67,797",2.00%,0.30%,3.00%,0.80%,$900,$100,40
186,"$39,476",75%,"$29,607",100%,99,999,"$39,476",2.00%,0.30%,3.00%,0.80%,$900,$100,76
187,"$41,484",75%,"$31,113",100%,99,999,"$41,484",2.00%,0.30%,3.00%,0.80%,$900,$100,30
188,"$67,379",75%,"$50,534",100%,99,999,"$67,379",2.00%,0.30%,3.00%,0.80%,$900,$100,12
189,"$63,165",75%,"$47,374",100%,99,999,"$63,165",2.00%,0.30%,3.00%,0.80%,$900,$100,65
190,"$95,971",75%,"$71,978",100%,99,999,"$95,971",2.00%,0.30%,3.00%,0.80%,$900,$100,78
191,"$56,022",75%,"$42,016",100%,99,999,"$56,022",2.00%,0.30%,3.00%,0.80%,$900,$100,1
192,"$78,737",75%,"$59,052",100%,99,999,"$78,737",2.00%,0.30%,3.00%,0.80%,$900,$100,31
193,"$20,560",75%,"$15,420",100%,99,999,"$20,560",2.00%,0.30%,3.00%,0.80%,$900,$100,94
194,"$32,566",75%,"$24,424",100%,99,999,"$32,566",2.00%,0.30%,3.00%,0.80%,$900,$100,17
195,"$83,248",75%,"$62,436",100%,99,999,"$83,248",2.00%,0.30%,3.00%,0.80%,$900,$100,39
196,"$61,196",75%,"$45,897",100%,99,999,"$61,196",2.00%,0.30%,3.00%,0.80%,$900,$100,50
197,"$83,301",75%,"$62,476",100%,99,999,"$83,301",2.00%,0.30%,3.00%,0.80%,$900,$100,23
198,"$57,790",75%,"$43,342",100%,99,999,"$57,790",2.00%,0.30%,3.00%,0.80%,$900,$100,28
199,"$73,389",75%,"$55,042",100%,99,999,"$73,389",2.00%,0.30%,3.00%,0.80%,$900,$100,52
200,"$34,509",75%,"$25,882",100%,99,999,"$34,509",2.00%,0.30%,3.00%,0.80%,$900,$100,81
201,"$50,545",100%,"$50,545",100%,1,80,"$50,545",2.20%,0.30%,3.00%,0.80%,$900,$100,64
202,"$3,475",100%,"$3,475",100%,1,80,"$3,475",2.20%,0.30%,3.00%,0.80%,$900,$100,47
203,"$85,987",100%,"$85,987",100%,1,80,"$85,987",2.20%,0.30%,3.00%,0.80%,$900,$100,85
204,"$90,892",100%,"$90,892",100%,1,80,"$90,892",2.20%,0.30%,3.00%,0.80%,$900,$100,93
205,"$78,770",100%,"$78,770",100%,1,80,"$78,770",2.20%,0.30%,3.00%,0.80%,$900,$100,73
206,"$86,353",100%,"$86,353",100%,1,80,"$86,353",2.20%,0.30%,3.00%,0.80%,$900,$100,87
207,"$67,761",100%,"$67,761",100%,1,80,"$67,761",2.20%,0.30%,3.00%,0.80%,$900,$100,30
208,"$31,921",100%,"$31,921",100%,1,80,"$31,921",2.20%,0.30%,3.00%,0.80%,$900,$100,29
209,"$55,460",100%,"$55,460",100%,1,80,"$55,460",2.20%,0.30%,3.00%,0.80%,$900,$100,30
210,"$15,227",100%,"$15,227",100%,1,80,"$15,227",2.20%,0.30%,3.00%,0.80%,$900,$100,75
211,"$8,077",100%,"$8,077",100%,1,80,"$8,077",2.20%,0.30%,3.00%,0.80%,$900,$100,89
212,"$52,462",100%,"$52,462",100%,1,80,"$52,462",2.20%,0.30%,3.00%,0.80%,$900,$100,39
213,"$54,581",100%,"$54,581",100%,1,80,"$54,581",2.20%,0.30%,3.00%,0.80%,$900,$100,8
214,"$87,670",100%,"$87,670",100%,1,80,"$87,670",2.20%,0.30%,3.00%,0.80%,$900,$100,25
215,"$49,432",100%,"$49,432",100%,1,80,"$49,432",2.20%,0.30%,3.00%,0.80%,$900,$100,55
216,"$87,119",100%,"$87,119",100%,1,80,"$87,119",2.20%,0.30%,3.00%,0.80%,$900,$100,82
217,"$78,578",100%,"$78,578",100%,1,80,"$78,578",2.20%,0.30%,3.00%,0.80%,$900,$100,36
218,"$70,056",100%,"$70,056",100%,1,80,"$70,056",2.20%,0.30%,3.00%,0.80%,$900,$100,37
219,"$19,420",100%,"$19,420",100%,1,80,"$19,420",2.20%,0.30%,3.00%,0.80%,$900,$100,69
220,"$56,729",100%,"$56,729",100%,1,80,"$56,729",2.20%,0.30%,3.00%,0.80%,$900,$100,28
221,"$33,673",100%,"$33,673",100%,1,80,"$33,673",2.20%,0.30%,3.00%,0.80%,$900,$100,29
222,"$36,787",100%,"$36,787",100%,1,80,"$36,787",2.20%,0.30%,3.00%,0.80%,$900,$100,4
223,"$65,199",100%,"$65,199",100%,1,80,"$65,199",2.20%,0.30%,3.00%,0.80%,$900,$100,52
224,"$90,091",100%,"$90,091",100%,1,80,"$90,091",2.20%,0.30%,3.00%,0.80%,$900,$100,98
225,"$22,306",100%,"$22,306",100%,1,80,"$22,306",2.20%,0.30%,3.00%,0.80%,$900,$100,51
226,"$10,091",100%,"$10,091",100%,1,80,"$10,091",2.20%,0.30%,3.00%,0.80%,$900,$100,8
227,"$82,275",100%,"$82,275",100%,1,80,"$82,275",2.20%,0.30%,3.00%,0.80%,$900,$100,10
228,"$67,759",100%,"$67,759",100%,1,80,"$67,759",2.20%,0.30%,3.00%,0.80%,$900,$100,3
229,"$14,738",100%,"$14,738",100%,1,80,"$14,738",2.20%,0.30%,3.00%,0.80%,$900,$100,41
230,"$53,412",100%,"$53,412",100%,1,80,"$53,412",2.20%,0.30%,3.00%,0.80%,$900,$100,64
231,"$98,852",100%,"$98,852",100%,1,80,"$98,852",2.20%,0.30%,3.00%,0.80%,$900,$100,71
232,"$96,130",100%,"$96,130",100%,1,80,"$96,130",2.20%,0.30%,3.00%,0.80%,$900,$100,9
233,"$41,583",100%,"$41,583",100%,1,80,"$41,583",2.20%,0.30%,3.00%,0.80%,$900,$100,10
234,"$63,596",100%,"$63,596",100%,1,80,"$63,596",2.20%,0.30%,3.00%,0.80%,$900,$100,45
235,"$98,117",100%,"$98,117",100%,1,80,"$98,117",2.20%,0.30%,3.00%,0.80%,$900,$100,53
236,"$32,069",100%,"$32,069",100%,1,80,"$32,069",2.20%,0.30%,3.00%,0.80%,$900,$100,50
