duree_max10;ID_ACQUI;PC_COMMISSION_VENTE_RF;PC_COMMISSION_VENTE_AC;PC_COMMISSION_MAINTIEN_RF;PC_COMMISSION_MAINTIEN_AC;PC_FRAIS_AN_AC;PC_FRAIS_AN_RF
4;9;1%;1%;0.3625%;0.3625%;0.0000%;0.0000%
4;10;2%;2%;0.6863%;0.6863%;0.0000%;0.0000%
4;11;2%;2%;0.3433%;0.3433%;0.0000%;0.0000%
4;12;0%;0%;0.5373%;0.5373%;0.0000%;0.0000%
4;13;0%;0%;0.8409%;0.8409%;0.0000%;0.0000%
4;14;0%;0%;1.0169%;1.0169%;0.0000%;0.0000%
4;15;0%;0%;0.3039%;0.3039%;0.0000%;0.0000%
5;1;2%;2%;0.3806%;0.3806%;1.9370%;1.9370%
5;2;4%;4%;0.4275%;0.4275%;3.2189%;3.2189%
5;3;3%;3%;0.2763%;0.2763%;1.4562%;1.4562%
5;4;2%;2%;0.3445%;0.3445%;1.7531%;1.7531%
5;5;4%;4%;0.4576%;0.4576%;3.4456%;3.4456%
5;6;3%;3%;0.2988%;0.2988%;1.5748%;1.5748%
5;7;6%;6%;0.6403%;0.6403%;3.3748%;3.3748%
5;8;1%;1%;0.6480%;0.6480%;0.0000%;0.0000%
5;9;2%;2%;0.6553%;0.6553%;0.0000%;0.0000%
5;10;3%;3%;0.9294%;0.9294%;0.0000%;0.0000%
5;11;1%;1%;0.2210%;0.2210%;0.0000%;0.0000%
5;12;0%;0%;0.3312%;0.3312%;0.0000%;0.0000%
5;13;0%;0%;0.3556%;0.3556%;0.0000%;0.0000%
5;14;0%;0%;0.7300%;0.7300%;0.0000%;0.0000%
5;15;0%;0%;0.4652%;0.4652%;0.0000%;0.0000%
6;1;4%;4%;0.7805%;0.7805%;2.6478%;2.6478%
6;2;3%;3%;0.2846%;0.2846%;1.4287%;1.4287%
6;3;8%;8%;0.8435%;0.8435%;2.9636%;2.9636%
6;4;2%;2%;0.4839%;0.4839%;1.6415%;1.6415%
6;5;2%;2%;0.1984%;0.1984%;0.9957%;0.9957%
6;6;6%;6%;0.5982%;0.5982%;2.1020%;2.1020%
6;7;4%;4%;0.3996%;0.3996%;1.4039%;1.4039%
6;8;2%;2%;0.8692%;0.8692%;0.0000%;0.0000%
6;9;2%;2%;0.6126%;0.6126%;0.0000%;0.0000%
6;10;2%;2%;0.6429%;0.6429%;0.0000%;0.0000%
6;11;1%;1%;0.2045%;0.2045%;0.0000%;0.0000%
6;12;0%;0%;0.3979%;0.3979%;0.0000%;0.0000%
6;13;0%;0%;0.4589%;0.4589%;0.0000%;0.0000%
6;14;0%;0%;0.6025%;0.6025%;0.0000%;0.0000%
6;15;0%;0%;0.8469%;0.8469%;0.0000%;0.0000%
7;1;3%;3%;0.5985%;0.5985%;0.0000%;0.0000%
7;2;4%;4%;0.3783%;0.3783%;0.0000%;0.0000%
7;3;3%;3%;0.3555%;0.3555%;0.0000%;0.0000%
7;4;2%;2%;0.5649%;0.5649%;0.0000%;0.0000%
7;5;5%;5%;0.9546%;0.9546%;0.0000%;0.0000%
7;6;9%;9%;1.8469%;1.8469%;0.0000%;0.0000%
7;7;4%;4%;0.5373%;0.5373%;0.0000%;0.0000%
7;8;2%;2%;0.8114%;0.8114%;0.0000%;0.0000%
7;9;1%;1%;0.4895%;0.4895%;0.0000%;0.0000%
7;10;4%;4%;1.2365%;1.2365%;0.0000%;0.0000%
7;11;2%;2%;0.3163%;0.3163%;0.0000%;0.0000%
7;12;0%;0%;0.3716%;0.3716%;0.0000%;0.0000%
7;13;0%;0%;0.5060%;0.5060%;0.0000%;0.0000%
7;14;0%;0%;0.9713%;0.9713%;0.0000%;0.0000%
7;15;0%;0%;0.5318%;0.5318%;0.0000%;0.0000%
8;1;4%;4%;0.9432%;0.9432%;0.0000%;0.0000%
8;2;4%;4%;0.4524%;0.4524%;0.0000%;0.0000%
8;3;3%;3%;0.2697%;0.2697%;0.0000%;0.0000%
8;4;1%;1%;0.3534%;0.3534%;0.0000%;0.0000%
8;5;2%;2%;0.4097%;0.4097%;0.0000%;0.0000%
8;6;6%;6%;1.2407%;1.2407%;0.0000%;0.0000%
8;7;4%;4%;0.5039%;0.5039%;0.0000%;0.0000%
8;8;1%;1%;0.4157%;0.4157%;0.0000%;0.0000%
8;9;3%;3%;0.8960%;0.8960%;0.0000%;0.0000%
8;10;2%;2%;0.5255%;0.5255%;0.0000%;0.0000%
8;11;2%;2%;0.4235%;0.4235%;0.0000%;0.0000%
8;12;0%;0%;1.1579%;1.1579%;0.0000%;0.0000%
8;13;0%;0%;0.6376%;0.6376%;0.0000%;0.0000%
8;14;0%;0%;1.0913%;1.0913%;0.0000%;0.0000%
8;15;0%;0%;0.9360%;0.9360%;0.0000%;0.0000%
9;1;2%;2%;0.4371%;0.4371%;0.0000%;0.0000%
9;2;2%;2%;0.2188%;0.2188%;0.0000%;0.0000%
9;3;6%;6%;0.5748%;0.5748%;0.0000%;0.0000%
9;4;3%;3%;0.6752%;0.6752%;0.0000%;0.0000%
9;5;3%;3%;0.5302%;0.5302%;0.0000%;0.0000%
9;6;9%;9%;1.7828%;1.7828%;0.0000%;0.0000%
9;7;5%;5%;0.6166%;0.6166%;0.0000%;0.0000%
9;8;1%;1%;0.4010%;0.4010%;0.0000%;0.0000%
9;9;1%;1%;0.4349%;0.4349%;0.0000%;0.0000%
9;10;6%;6%;1.9193%;1.9193%;0.0000%;0.0000%
9;11;2%;2%;0.4353%;0.4353%;0.0000%;0.0000%
9;12;0%;0%;0.5211%;0.5211%;0.0000%;0.0000%
9;13;0%;0%;0.4256%;0.4256%;0.0000%;0.0000%
9;14;0%;0%;0.9719%;0.9719%;0.0000%;0.0000%
9;15;0%;0%;0.4381%;0.4381%;0.0000%;0.0000%
10;1;1%;1%;0.2914%;0.2914%;0.0000%;0.0000%
10;2;2%;2%;0.1871%;0.1871%;0.0000%;0.0000%
10;3;3%;3%;0.2678%;0.2678%;0.0000%;0.0000%
10;4;2%;2%;0.5621%;0.5621%;0.0000%;0.0000%
10;5;3%;3%;0.6797%;0.6797%;0.0000%;0.0000%
10;6;4%;4%;0.7258%;0.7258%;0.0000%;0.0000%
10;7;4%;4%;0.4874%;0.4874%;0.0000%;0.0000%
10;8;1%;1%;0.6327%;0.6327%;0.0000%;0.0000%
10;9;1%;1%;0.4051%;0.4051%;0.0000%;0.0000%
10;10;2%;2%;0.7340%;0.7340%;0.0000%;0.0000%
10;11;2%;2%;0.3945%;0.3945%;0.0000%;0.0000%
10;12;0%;0%;0.3405%;0.3405%;0.0000%;0.0000%
10;13;0%;0%;0.7049%;0.7049%;0.0000%;0.0000%
10;14;0%;0%;1.2514%;1.2514%;0.0000%;0.0000%
10;15;0%;0%;0.3126%;0.3126%;0.0000%;0.0000%
1;16;2%;3%;0.1556%;0.3044%;2.2326%;2.2326%
2;16;2%;3%;0.1748%;0.3419%;2.7201%;2.7201%
3;16;1%;2%;0.1359%;0.2660%;1.9209%;1.9209%
4;16;2%;3%;0.1874%;0.3666%;2.5659%;2.5659%
5;16;4%;6%;0.3559%;0.6964%;3.2498%;3.2498%
6;16;3%;5%;0.2941%;0.5754%;1.4441%;1.4441%
7;16;2%;4%;0.2413%;0.4722%;0.0000%;0.0000%
8;16;1%;2%;0.1335%;0.2611%;0.0000%;0.0000%
9;16;1%;2%;0.1205%;0.2357%;0.0000%;0.0000%
10;16;2%;4%;0.1967%;0.3848%;0.0000%;0.0000%
1;17;0%;0%;0.1718%;0.3489%;0.0000%;0.0000%
2;17;0%;0%;0.2360%;0.4792%;0.0000%;0.0000%
3;17;0%;0%;0.3637%;0.7384%;0.0000%;0.0000%
4;17;0%;0%;0.1828%;0.3711%;0.0000%;0.0000%
5;17;0%;0%;0.1678%;0.3407%;0.0000%;0.0000%
6;17;0%;0%;0.1833%;0.3722%;0.0000%;0.0000%
7;17;0%;0%;0.2137%;0.4339%;0.0000%;0.0000%
8;17;0%;0%;0.2577%;0.5231%;0.0000%;0.0000%
9;17;0%;0%;0.5699%;1.1572%;0.0000%;0.0000%
10;17;0%;0%;0.1938%;0.3934%;0.0000%;0.0000%
1;18;1%;2%;0.0000%;0.0000%;1.4081%;0.7062%
2;18;1%;2%;0.0000%;0.0000%;0.8598%;0.4312%
3;18;2%;4%;0.0000%;0.0000%;0.5052%;0.2534%
4;18;1%;3%;0.1118%;0.2322%;0.0000%;0.0000%
5;18;1%;2%;0.1306%;0.2611%;0.0000%;0.0000%
6;18;2%;4%;0.3281%;0.6441%;0.0000%;0.0000%
7;18;2%;4%;0.2841%;0.5576%;0.0000%;0.0000%
8;18;1%;3%;0.2234%;0.4385%;0.0000%;0.0000%
9;18;1%;3%;0.2145%;0.4210%;0.0000%;0.0000%
10;18;1%;2%;0.1972%;0.3871%;0.0000%;0.0000%
1;19;1%;3%;0.0000%;0.0000%;1.9184%;0.9615%
2;19;2%;4%;0.0000%;0.0000%;1.9632%;0.9840%
3;19;2%;4%;0.0000%;0.0000%;1.3558%;0.6795%
4;19;3%;7%;0.1126%;0.2092%;1.4989%;0.7513%
5;19;4%;8%;0.1287%;0.2390%;0.5710%;0.2862%
6;19;1%;3%;0.0851%;0.1768%;0.0000%;0.0000%
7;19;2%;4%;0.1829%;0.3659%;0.0000%;0.0000%
8;19;3%;6%;0.4140%;0.8127%;0.0000%;0.0000%
9;19;3%;6%;0.4229%;0.8301%;0.0000%;0.0000%
10;19;2%;3%;0.2232%;0.4381%;0.0000%;0.0000%
1;20;1%;1%;0.1073%;0.1830%;1.0413%;1.0413%
2;20;1%;2%;0.1655%;0.2823%;1.5819%;1.5819%
3;20;1%;1%;0.1065%;0.1817%;0.8144%;0.8144%
4;20;1%;2%;0.2263%;0.4441%;0.0000%;0.0000%
5;20;1%;3%;0.3345%;0.6567%;0.0000%;0.0000%
6;20;1%;1%;0.1353%;0.2656%;0.0000%;0.0000%
7;20;1%;2%;0.2024%;0.3973%;0.0000%;0.0000%
8;20;1%;2%;0.2571%;0.5046%;0.0000%;0.0000%
9;20;1%;2%;0.2004%;0.3933%;0.0000%;0.0000%
10;20;1%;2%;0.2232%;0.4381%;0.0000%;0.0000%
1;21;3%;5%;0.1650%;0.3873%;2.7639%;2.7639%
2;21;2%;3%;0.1035%;0.2429%;1.7830%;1.7830%
3;21;3%;6%;0.2113%;0.4958%;3.1438%;3.1438%
4;21;3%;5%;0.1611%;0.3780%;2.2079%;2.2079%
5;21;3%;6%;0.2098%;0.4924%;1.8128%;1.8128%
6;21;2%;3%;0.1015%;0.2383%;0.4491%;0.4491%
7;21;5%;8%;0.2848%;0.6684%;0.0000%;0.0000%
8;21;4%;8%;0.2749%;0.6451%;0.0000%;0.0000%
9;21;3%;5%;0.1734%;0.4069%;0.0000%;0.0000%
10;21;2%;3%;0.1106%;0.2594%;0.0000%;0.0000%
1;22;0%;0%;0.7654%;1.5308%;0.0000%;0.0000%
2;22;0%;0%;0.4167%;0.8334%;0.0000%;0.0000%
3;22;0%;0%;0.3726%;0.7452%;0.0000%;0.0000%
4;22;0%;0%;0.2733%;0.5465%;0.0000%;0.0000%
5;22;0%;0%;0.7135%;1.4271%;0.0000%;0.0000%
6;22;0%;0%;0.6792%;1.3585%;0.0000%;0.0000%
7;22;0%;0%;0.8652%;1.7303%;0.0000%;0.0000%
8;22;0%;0%;0.2669%;0.5337%;0.0000%;0.0000%
9;22;0%;0%;0.2582%;0.5164%;0.0000%;0.0000%
10;22;0%;0%;0.4744%;0.9489%;0.0000%;0.0000%
1;23;1%;3%;0.0000%;0.0000%;2.1026%;1.1214%
2;23;1%;2%;0.0000%;0.0000%;0.9697%;0.5172%
3;23;2%;3%;0.0000%;0.0000%;0.4916%;0.2622%
4;23;1%;3%;0.1402%;0.3505%;0.0000%;0.0000%
5;23;1%;3%;0.2031%;0.5078%;0.0000%;0.0000%
6;23;1%;2%;0.3258%;0.6515%;0.0000%;0.0000%
7;23;2%;4%;0.4902%;0.9805%;0.0000%;0.0000%
8;23;1%;2%;0.2803%;0.5606%;0.0000%;0.0000%
9;23;3%;6%;0.8467%;1.6935%;0.0000%;0.0000%
10;23;1%;2%;0.2590%;0.5180%;0.0000%;0.0000%
1;24;2%;4%;0.0000%;0.0000%;3.4103%;1.8188%
2;24;2%;4%;0.0000%;0.0000%;2.7369%;1.4597%
3;24;2%;3%;0.0000%;0.0000%;1.6939%;0.9034%
4;24;3%;6%;0.1141%;0.2852%;1.7965%;0.9581%
5;24;4%;8%;0.1433%;0.3582%;0.7521%;0.4011%
6;24;2%;4%;0.1449%;0.3623%;0.0000%;0.0000%
7;24;1%;3%;0.1528%;0.3820%;0.0000%;0.0000%
8;24;2%;4%;0.3812%;0.7624%;0.0000%;0.0000%
9;24;2%;4%;0.3911%;0.7823%;0.0000%;0.0000%
10;24;3%;6%;0.5527%;1.1055%;0.0000%;0.0000%
1;25;1%;2%;0.1217%;0.3246%;1.0712%;1.0712%
2;25;1%;2%;0.1705%;0.4546%;1.4774%;1.4774%
3;25;2%;3%;0.2236%;0.5962%;1.5501%;1.5501%
4;25;1%;1%;0.2901%;0.5801%;0.0000%;0.0000%
5;25;2%;3%;0.6170%;1.2340%;0.0000%;0.0000%
6;25;2%;3%;0.6384%;1.2767%;0.0000%;0.0000%
7;25;1%;1%;0.2543%;0.5087%;0.0000%;0.0000%
8;25;1%;2%;0.3261%;0.6521%;0.0000%;0.0000%
9;25;2%;3%;0.6714%;1.3428%;0.0000%;0.0000%
10;25;1%;2%;0.3953%;0.7905%;0.0000%;0.0000%
1;26;0%;0%;0.0000%;0.0000%;0.0000%;0.0000%
2;26;0%;0%;0.0000%;0.0000%;0.0000%;0.0000%
3;26;0%;0%;0.0000%;0.0000%;0.0000%;0.0000%
4;26;0%;0%;0.0000%;0.0000%;0.0000%;0.0000%
5;26;0%;0%;0.0000%;0.0000%;0.0000%;0.0000%
6;26;0%;0%;0.0000%;0.0000%;0.0000%;0.0000%
7;26;0%;0%;0.0000%;0.0000%;0.0000%;0.0000%
8;26;0%;0%;0.0000%;0.0000%;0.0000%;0.0000%
9;26;0%;0%;0.0000%;0.0000%;0.0000%;0.0000%
10;26;0%;0%;0.0000%;0.0000%;0.0000%;0.0000%
