CODE_CAT_PRODUIT;CAT_COUSSIN_1;CAT_COUSSIN_2;BASE_PASSIF_REDRESSE;TX_PASSIF_REDRESSE;BASE_COUSSIN_CREDIT;TX_COUSSIN_CREDIT;BASE_COUSSIN_MARCHE;TX_COUSSIN_MARCHE;BASE_COUSSIN_DEPENSE;TX_COUSSIN_DEPENSE;BASE_COUSSIN_DECHEANCE;TX_COUSSIN_DECHEANCE;BASE_COUSSIN_MORTALITE;TX_COUSSIN_MORTALITE;BASE_COUSSIN_DEPOT;TX_COUSSIN_DEPOT;FACTEUR_AGE_80;FACTEUR_AGE_90
2;3;1;1;(  0.11%);1;(  0.09%);0;(  0.53%);0;(  0.18%);0;(  0.46%);1;(  0.04%);1;0.00%;57.50%;49.32%
2;3;2;1;(  0.17%);1;(  0.14%);0;(  0.83%);1;(  0.29%);1;(  0.93%);1;(  0.07%);1;0.00%;60.21%;51.65%
2;3;3;1;(  0.16%);1;(  0.26%);0;(  0.96%);0;(  0.33%);0;(  1.15%);1;(  0.06%);1;0.00%;77.40%;66.40%
3;1;1;0;(  0.17%);1;(  0.03%);1;(  3.11%);1;(  0.15%);1;(  0.78%);0;(  0.13%);1;0.00%;108.29%;57.52%
3;1;2;1;(  0.51%);1;(  0.10%);1;( 11.31%);0;(  0.55%);1;(  2.71%);1;(  0.41%);0;0.00%;65.19%;34.63%
3;1;3;0;(  0.22%);0;(  0.06%);0;(  4.79%);1;(  0.27%);1;(  1.00%);1;(  0.15%);1;0.00%;109.16%;57.98%
3;2;1;0;(  0.25%);0;(  0.14%);1;(  3.02%);1;(  0.33%);0;(  1.30%);0;(  0.15%);1;0.00%;63.32%;33.63%
3;2;2;1;(  0.33%);1;(  0.24%);1;(  4.56%);0;(  0.53%);0;(  1.82%);0;(  0.20%);1;0.00%;151.60%;80.52%
3;2;3;0;(  0.17%);0;(  0.12%);0;(  2.28%);1;(  0.30%);1;(  0.85%);0;(  0.09%);0;0.00%;57.67%;30.63%
3;3;1;1;(  0.10%);0;(  0.12%);1;(  0.35%);1;(  0.25%);0;(  0.77%);1;(  0.03%);0;0.00%;47.14%;25.04%
3;3;2;0;(  0.10%);1;(  0.12%);1;(  0.48%);0;(  0.24%);1;(  0.68%);0;(  0.04%);0;0.00%;65.83%;34.97%
3;3;3;0;(  0.23%);1;(  0.29%);1;(  1.26%);1;(  0.57%);0;(  0.84%);1;(  0.02%);0;0.00%;146.53%;77.83%
4;1;1;1;(  0.43%);1;(  0.04%);0;(  6.13%);0;(  0.14%);1;(  0.98%);1;(  0.25%);1;0.00%;74.52%;65.96%
4;1;2;0;(  0.54%);0;(  0.05%);1;(  8.09%);1;(  0.18%);0;(  1.48%);0;(  0.39%);0;0.00%;65.26%;57.77%
4;1;3;0;(  0.58%);0;(  0.06%);0;(  8.64%);0;(  0.29%);1;(  1.52%);1;(  0.31%);0;0.00%;51.54%;45.62%
4;2;1;0;(  0.84%);1;(  0.33%);1;(  7.93%);0;(  0.47%);1;(  2.34%);0;(  0.47%);1;0.00%;45.50%;40.27%
4;2;2;0;(  0.32%);0;(  0.14%);1;(  3.10%);1;(  0.17%);1;(  0.97%);0;(  0.22%);0;0.00%;41.27%;36.53%
4;2;3;1;(  0.44%);0;(  0.17%);0;(  4.39%);0;(  0.39%);0;(  1.51%);1;(  0.21%);1;0.00%;106.57%;94.33%
4;3;1;0;(  0.17%);1;(  0.18%);0;(  0.77%);0;(  0.29%);0;(  0.62%);1;(  0.04%);1;0.00%;40.94%;36.24%
4;3;2;0;(  0.21%);0;(  0.17%);0;(  0.84%);1;(  0.25%);1;(  0.95%);0;(  0.11%);0;0.00%;41.53%;36.76%
4;3;3;1;(  0.19%);0;(  0.14%);0;(  0.87%);0;(  0.30%);1;(  0.59%);0;(  0.05%);1;0.00%;74.88%;66.28%
5;1;1;1;(  0.88%);1;(  0.06%);0;( 11.16%);0;(  0.19%);1;(  1.26%);0;(  0.40%);0;0.00%;52.23%;50.30%
5;1;2;0;(  1.30%);0;(  0.11%);0;( 20.22%);0;(  0.35%);0;(  3.02%);1;(  0.65%);1;0.00%;65.61%;63.18%
5;1;3;1;(  0.51%);1;(  0.04%);1;(  6.27%);0;(  0.16%);1;(  0.89%);0;(  0.21%);0;0.00%;57.33%;55.21%
5;2;1;1;(  0.72%);0;(  0.24%);0;(  5.81%);0;(  0.21%);1;(  1.08%);1;(  0.32%);1;0.00%;55.29%;53.25%
5;2;2;1;(  1.23%);1;(  0.51%);1;( 12.13%);0;(  0.60%);1;(  2.20%);1;(  0.48%);0;0.00%;77.15%;74.29%
5;2;3;1;(  0.69%);0;(  0.22%);0;(  5.71%);1;(  0.33%);1;(  1.33%);0;(  0.27%);0;0.00%;83.52%;80.43%
5;3;1;1;(  0.36%);1;(  0.49%);1;(  2.17%);1;(  0.41%);1;(  0.78%);0;(  0.06%);0;0.00%;55.25%;53.20%
5;3;2;1;(  0.40%);0;(  0.30%);1;(  2.03%);0;(  0.32%);1;(  0.84%);0;(  0.21%);0;0.00%;49.90%;48.05%
5;3;3;1;(  0.35%);1;(  0.37%);0;(  2.57%);1;(  0.29%);1;(  0.61%);0;(  0.14%);0;0.00%;162.08%;156.08%
6;0;1;1;(  1.26%);1;(  0.02%);1;( 15.05%);1;(  0.34%);1;(  0.63%);1;(  0.03%);0;0.00%;179.66%;179.66%
6;0;2;1;(  2.09%);1;(  0.09%);0;( 33.34%);1;(  0.83%);0;(  0.97%);0;(  0.04%);1;0.00%;108.73%;108.73%
6;0;3;0;(  1.44%);0;(  0.02%);1;( 16.43%);0;(  0.53%);0;(  0.62%);1;(  0.02%);0;0.00%;65.10%;65.10%
7;4;4;0;( 12.39%);0;(  0.83%);0;( 29.42%);0;(  0.59%);1;(  2.02%);0;(  5.50%);0;0.00%;38.36%;17.60%
7;4;5;1;(  5.05%);0;(  0.33%);1;( 13.23%);0;(  0.22%);1;(  0.90%);1;(  2.18%);1;0.00%;54.32%;24.93%
7;4;6;1;(  7.12%);1;(  0.74%);0;( 28.36%);1;(  0.48%);1;(  0.78%);1;(  4.61%);0;0.00%;70.19%;32.21%
7;5;4;1;(  5.41%);0;(  0.51%);1;(  8.15%);0;(  0.28%);0;(  0.86%);0;(  2.57%);0;0.00%;65.13%;29.88%
7;5;5;0;(  8.65%);0;(  1.14%);0;( 16.87%);1;(  0.47%);1;(  1.30%);0;(  4.77%);1;0.00%;35.90%;16.47%
7;5;6;0;(  6.70%);1;(  1.20%);1;( 16.21%);0;(  0.38%);1;(  0.93%);0;(  4.93%);0;0.00%;48.93%;22.45%
