POLICY,MV,TRANSAC,GUARANTEE
167,46742,-935,33654
168,82604,826,48736
169,59873,-2994,55083
170,65386,1962,73232
171,45577,-456,28258
172,90787,0,68090
173,63431,0,58357
174,22645,1132,20381
175,80495,-4025,33003
176,92234,2767,109758
177,54478,-2179,45217
178,93187,2796,41002
179,83058,3322,59802
180,36512,-365,32861
181,84047,840,70599
182,65365,2615,41834
183,77033,3852,79344
184,55753,-2230,42930
185,87037,0,103574
186,23302,-466,24933
187,26517,-530,17766
188,55649,-2782,56762
189,30878,0,20071
190,51712,-1551,37750
191,98783,4939,67172
192,75487,1510,52086
193,65922,2637,55374
194,31041,1242,17693
195,44431,889,50651
196,31698,1585,32332
197,42100,1263,34522
198,68510,-1370,36995
199,43352,1734,24277
200,16518,661,7929
201,60848,-608,37117
202,74006,3700,80667
203,56886,0,38114
204,44804,896,47492
205,46933,-1877,44117
206,30646,1226,19920
207,52780,-2111,37474
208,50863,-2035,45777
209,54710,-1094,25167
210,44746,447,28190
211,55316,1659,60848
212,37493,1875,26245
213,82653,1653,62816
214,39658,793,17450
215,28350,-1418,20412
216,65948,-1978,68586
217,97256,0,55436
218,96375,1928,42405
219,17724,177,7799
220,55705,557,33423
221,53509,-2675,23544
222,54401,2720,52225
223,63676,1274,47757
224,23716,-949,21107
225,79488,795,73129
226,24373,244,24617
227,21224,849,20587
228,14092,423,12542
229,54644,2186,55190
230,14931,448,9556
231,55511,1665,34972
232,12706,-381,13850
233,38987,390,26121
234,20274,203,23923
235,86146,1723,60302
236,53802,0,28515
237,15470,619,13614
238,40900,1636,24949
239,99380,1988,48696
240,62462,625,29982
241,16712,-167,15208
242,71997,-2880,69117
243,90550,0,56141
244,94482,2834,76530
245,84402,4220,70054
246,62311,-2492,64180
247,96558,966,56969
248,65234,-652,30660
249,10053,-503,6635
250,17779,-356,18312
251,26148,-1046,10721
252,88048,880,35219
253,23707,711,17306
254,25176,1259,25176
255,68190,2728,47051
256,78624,-2359,54251
257,42379,-1271,31360
258,83463,-4173,75951
259,44283,-2214,52254
260,57215,-1716,61792
261,41954,-1259,33563
262,45880,1835,26152
263,94529,4726,69006
264,65329,-2613,57490
265,26587,266,17016
266,75332,3013,90398
267,65540,1311,30148
268,56727,1135,44814
269,48324,1933,30927
270,71961,2159,69802
271,45245,452,30314
272,10728,-107,11372
273,45478,0,45023
274,20648,413,17551
275,40243,1610,41450
276,81537,3261,33430
277,54129,-1083,35725
278,98403,4920,68882
279,88524,3541,41606
280,77549,1551,46529
281,58038,0,42948
282,63464,-2539,51406
283,19834,397,23007
284,63484,3174,59675
285,79523,795,91451
286,39280,-786,42422
287,68029,680,60546
288,95757,-1915,59369
289,11590,-348,7186
290,57149,2857,25146
291,33538,-1342,31190
292,79414,0,44472
293,58501,2925,39781
294,95435,-954,96389
295,69306,693,74157
296,80256,-2408,95505
297,58775,588,59363
298,28845,865,22211
299,33456,1004,31783
300,15556,156,16334
301,62212,2488,60346
302,75657,-3026,70361
303,36474,365,18602
304,31244,-937,27495
305,57884,-1737,56726
306,58444,-1753,69548
307,34257,-1713,20897
308,72701,2908,77790
309,39476,-1184,27238
310,50961,-1019,21404
311,34430,1377,20314
312,79036,790,82197
313,28587,1429,29445
314,88858,0,52426
315,68716,-1374,51537
316,37760,378,35117
317,73534,0,36032
318,39583,-396,41562
319,63384,2535,50707
320,42071,1683,20615
321,58901,2356,47710
322,19947,-997,10372
323,83604,836,93636
324,23671,473,11362
325,57998,-2900,42339
326,49545,0,20809
327,47075,471,47075
328,39796,398,27459
329,42871,-1715,42014
330,37930,-1138,39068
331,59897,-2396,44324
332,77362,-1547,65758
333,41785,-418,45546
334,23596,944,27607
335,54042,0,47017
336,84688,-1694,49966
337,29794,894,21154
338,97740,2932,97740
339,69879,0,57301
340,84724,-3389,66085
341,28037,-1402,32243
342,14091,-282,7891
343,79258,-2378,38044
344,98152,-3926,56928
345,29139,-1457,19815
346,52153,2608,44330
347,80955,-3238,51002
348,70978,-2129,84464
349,22938,-1147,11240
350,45335,-2267,41255
351,53968,0,37778
352,61815,0,36471
353,17137,-514,14395
354,12272,0,6013
355,34197,342,21544
356,60648,-606,28505
357,91380,1828,39293
358,77483,-1550,89880
359,76982,1540,60046
360,92711,-1854,85294
361,36742,-1837,19473
362,23669,947,25563
363,44124,1765,36182
364,62164,-3108,55326
365,24975,-500,13487
366,59878,-2395,50896
367,22753,910,23436
368,52414,0,31448
369,85068,-851,96978
370,77376,3095,92077
371,20244,-810,23685
372,83242,3330,52442
373,92620,926,84284
374,43344,2167,32508
375,98092,3924,46103
376,71927,1439,45314
377,61266,-2451,56977
378,78425,0,59603
379,12775,-511,11753
380,77753,3110,80863
381,25056,-251,21298
382,58732,-1762,39938
383,41172,-823,45289
384,15702,628,7537
385,12011,-240,7567
386,15110,-302,11786
387,35427,1063,22319
388,83133,831,69832
389,95321,2860,45754
390,59652,0,25054
391,71663,0,58764
392,56638,1699,33416
393,22678,680,18142
394,72759,-2910,52386
395,25307,759,14931
396,78056,-3122,72592
397,23228,-465,12543
398,26236,-525,16266
399,16778,-168,10235
400,24361,-1218,22169
401,72703,-2181,42168
402,67766,2711,40660
403,35788,358,37577
404,55983,560,31910
405,61758,0,55582
406,43787,1751,21894
407,38268,1913,16838
408,67284,-2691,64593
409,93275,-3731,40108
410,26689,267,27223
411,16400,164,13284
412,63364,3168,67799
413,64984,-3249,55886
414,23630,473,21031
415,15406,-308,10784
416,15897,0,11764
417,33563,-1007,31214
418,28263,-1413,20067
419,96847,-1937,56171
420,41395,1242,20284
421,55381,-2769,65903
422,70728,1415,80630
423,57636,-576,56483
424,24867,-995,23624
425,76406,-2292,74114
426,73377,-734,69708
427,93324,2800,50395
428,68233,2047,38210
429,83064,4153,90540
430,68766,688,35071
431,29095,-873,25313
432,13220,-661,9386
433,46098,1383,26276
434,45667,1827,33794
435,99916,1998,51956
436,99019,-2971,47529
437,10888,544,4355
438,33233,1329,32568
439,29028,-1161,27867
440,94953,-4748,52224
441,46946,1878,42721
442,31162,-935,34590
443,25431,1017,29754
444,66096,-3305,54199
445,22142,221,13728
446,75756,-3788,78786
447,34422,1033,17211
448,59193,2368,63337
449,67825,2035,59686
450,83934,3357,71344
451,10025,401,9424
452,64055,-2562,47401
453,75882,-759,90300
454,23587,236,15096
455,91488,3660,99722
456,30710,-614,31631
457,46256,1850,49956
458,68339,-1367,72439
459,84780,-3391,54259
460,52693,-1054,57435
461,41033,2052,28313
462,25368,0,11923
463,66953,670,40172
464,42216,1689,20686
465,75090,-3004,47307
466,97597,976,50750
467,37672,753,32398
468,44705,-447,39787
469,24333,-487,10220
470,43694,0,29275
471,28304,566,28021
472,51631,516,40788
473,18390,-552,12505
474,13582,-272,5569
475,66783,-3339,54094
476,60504,-2420,40538
477,35812,1791,21487
478,36733,367,23142
479,54840,548,60324
480,18198,-364,18198
481,63606,2544,59790
482,52329,523,42910
483,83286,0,97445
484,58192,1746,33169
485,50581,0,42488
486,80386,-2412,32154
487,81449,-814,57829
488,21854,656,15079
489,84586,0,76973
490,65958,-2638,71235
491,62443,-2498,60570
492,98314,-3933,63904
493,65883,659,28330
494,91938,2758,42291
495,27314,273,30865
496,27901,-1395,22321
497,60300,-2412,53667
498,52560,-2102,51509
499,44333,443,25270
500,28325,850,26342
501,71017,-1420,59654
502,34014,-340,38436
503,16061,0,16864
504,59255,2963,52144
505,66046,-660,52176
506,23491,-940,24666
507,50804,2540,23370
508,34955,-350,34256
509,77402,1548,44119
510,98646,-4932,81876
511,53152,2658,28171
512,61909,1238,27240
513,61579,-2463,49879
514,71674,-2867,42288
515,43324,0,51556
516,43566,436,37031
517,88873,0,52435
518,77783,-1556,48225
519,37918,-758,33747
520,12788,0,14834
521,75647,756,50683
522,94294,943,93351
523,91269,1825,81229
524,92430,-3697,63777
525,76097,0,66965
526,63092,-631,75079
527,52576,2103,45215
528,27728,-555,17469
529,97152,2915,92294
530,95246,3810,80007
531,24347,-487,18260
532,62903,-629,40887
533,26976,-270,30213
534,64129,-1283,42325
535,15148,0,8028
536,21661,650,15813
537,65204,3260,61292
538,63011,1260,73093
539,58471,-1169,63733
540,47081,-1412,31544
541,64599,-1938,52971
542,95733,-3829,98605
543,94495,0,90715
544,46470,0,50188
545,36317,1816,26875
546,45503,1365,37312
547,63583,-2543,41965
548,76560,766,42108
549,88366,0,91017
550,87408,-1748,97897
551,56368,564,25929
552,77351,774,75804
553,35388,1769,23002
554,53607,-536,60576
555,90765,-3631,80781
556,85203,852,36637
557,18766,-751,14637
558,80720,-3229,83949
559,61845,2474,53187
560,68983,0,51047
561,24122,-965,13267
562,52245,1567,49633
563,30257,303,25416
564,78929,-789,89190
565,25901,1295,18131
566,15770,-789,17032
567,84920,0,35666
568,81673,0,35119
569,66070,0,42285
570,66521,-2661,63195
571,13789,-414,5516
572,31221,1249,37465
573,92426,1849,65622
574,67467,-2699,40480
575,21905,876,24534
576,15542,311,17718
577,51435,-2572,25718
578,13362,668,14832
579,14087,-704,6198
580,91611,4581,84282
581,86241,3450,92278
582,78876,-3944,44959
583,72187,-2887,60637
584,60829,-1217,63870
585,48132,481,44281
586,55701,-557,23951
587,18444,-738,20288
588,62173,-1243,60930
589,36561,1097,28883
590,19491,-780,19296
591,38531,1927,45852
592,83587,-2508,61019
593,93492,-4675,66379
594,39920,0,38323
595,67734,2032,52155
596,64101,-2564,57691
597,84399,4220,60767
598,82365,4118,81541
599,97952,-1959,65628
600,31266,-1563,36894
601,36669,-367,35569
602,25823,1291,26856
603,44733,-895,44733
604,99849,3994,110832
605,41513,830,39022
606,68164,-1363,29311
607,34371,1719,39870
608,41319,-2066,18180
609,42127,1685,24434
610,42429,424,22063
611,92382,-924,66515
612,96441,0,104156
613,34406,-1032,23052
614,66631,-1999,55304
615,14537,-727,6106
616,23339,934,11670
617,59340,0,58153
618,89938,-899,79145
619,58798,-1176,57622
620,40285,2014,24977
621,16173,647,15041
622,66002,-660,48181
623,67450,-2024,45192
624,76915,769,39996
625,21979,0,13847
626,81917,-4096,40139
627,10677,-534,5979
628,84769,-1695,38146
629,86715,1734,60701
630,49198,0,36899
631,35139,1054,19326
632,92627,-3705,78733
633,63483,2539,64753
634,78982,0,63186
635,39796,-1990,36612
636,29136,874,24183
637,76652,-1533,62088
638,80677,-1614,81484
639,51793,-2590,36773
640,11632,-349,5118
641,43531,1741,50931
642,52092,-1563,22920
643,87034,2611,51350
644,17054,0,7504
645,48613,0,55905
646,41819,-836,37219
647,26361,-1054,16080
648,15334,0,11040
649,60875,-1218,57223
650,33597,-1008,34269
651,41298,-2065,40472
652,16732,-167,19576
653,25582,0,14326
654,10643,-532,6918
655,85867,2576,34347
656,33485,335,39177
657,26070,521,16163
658,90267,903,39717
659,16919,-677,11674
660,30938,1238,31866
661,78512,-2355,57314
662,36090,1444,39338
663,32684,-1307,17976
664,65583,1967,59025
665,48334,967,46884
666,38749,-387,32162
667,68541,-685,58260
668,63814,0,38927
669,93894,-939,106100
670,32560,651,30281
671,72772,-2911,69861
672,63811,-2552,70830
673,65749,2630,74954
674,66495,665,53861
675,60031,1201,63033
676,34482,-1379,18620
677,14854,-446,6536
678,92848,-2785,97490
679,47919,-2396,36898
680,78690,-3935,81838
681,89417,-3577,43814
682,18618,-186,16756
683,42002,420,36122
684,34208,-1710,25656
685,57443,574,65485
686,22378,0,14098
687,40285,-403,43105
688,15010,751,9306
689,65022,2601,75426
690,68237,2047,68919
691,75554,-3022,39288
692,43946,-1758,38672
693,51334,-2567,35934
694,59001,0,52511
695,82375,1648,38716
696,35948,-359,18693
697,40351,807,43579
698,45575,-1823,46031
699,21681,-867,9756
700,99871,4994,116849
701,77152,-3858,74066
702,35720,-714,35363
703,58920,-1178,46547
704,97611,-4881,105420
705,53023,1060,58856
706,32762,-655,38987
707,82870,4144,67125
708,69177,3459,56725
709,77130,771,47049
710,83607,2508,76082
711,62414,-1248,64286
712,12358,-371,13470
713,34538,345,15887
714,19318,-580,23182
715,19346,193,18572
716,43759,-1313,40258
717,74903,0,36702
718,57046,-2852,64462
719,66207,1324,41048
720,20493,1025,11476
721,60915,2437,50559
722,17808,-890,12288
723,48888,-2444,58666
724,11851,-119,7466
725,92030,2761,102153
726,59849,1795,56857
727,35913,-359,21189
728,16690,334,9680
729,61581,-1847,66507
730,62692,-627,49527
731,54070,-1081,21628
732,68484,1370,42460
733,71413,-2142,34992
734,11952,478,7769
735,39829,0,27482
736,51162,1023,41953
737,94818,0,80595
738,45189,-1808,36151
739,39834,-797,42622
740,65436,1963,75906
741,44760,895,32675
742,29465,-1473,17679
743,81411,-3256,38263
744,99382,-3975,40747
745,53664,-1073,63324
746,47591,-476,39025
747,53896,0,63058
748,24748,990,11137
749,54800,1644,23564
750,40801,2040,48145
751,12413,-497,14027
752,81319,4066,47165
753,80124,2404,73714
754,25671,257,28238
755,60842,0,47457
756,86192,-3448,58611
757,69655,-2090,59207
758,72921,-2917,79484
759,63558,-636,59745
760,73475,3674,77884
761,74404,2976,36458
762,92844,2785,57563
763,46628,1865,43830
764,33236,665,30245
765,18922,757,14570
766,53343,1067,21337
767,78732,2362,37004
768,88143,1763,61700
769,41267,-825,27236
770,59007,-1180,43665
771,29145,-583,13115
772,84417,-1688,92859
773,22988,920,17931
774,54235,-1627,65082
775,82331,4117,55162
776,48888,1467,43021
777,76637,3832,42150
778,69492,-1390,61848
779,84425,1689,82737
780,40090,-1604,34878
781,47260,1418,23157
782,42029,-420,29000
783,22000,-440,18260
784,17043,170,19429
785,35585,-1779,23486
786,81786,-2454,33532
787,60021,1801,52218
788,14860,-594,9213
789,15397,-154,13549
790,47915,-479,38332
791,55188,-1656,40287
792,75170,0,87197
793,14772,-295,11818
794,66446,-664,60466
795,47564,-1903,48040
796,84755,4238,63566
797,41951,839,27268
798,28568,0,17426
799,74563,2237,49212
800,81277,2438,49579
801,80970,3239,76922
802,86989,-1740,51324
803,49827,997,27405
804,49902,1996,55890
805,17080,683,16909
806,81424,0,55368
807,13115,-131,6689
808,13685,-547,14506
809,75158,-1503,77413
810,98395,4920,92491
811,49657,-1490,33767
812,10749,322,12254
813,45639,1369,40619
814,35475,1419,35830
815,98911,-3956,45499
816,83317,-4166,89982
817,83331,833,38332
818,49655,497,50152
819,43300,1299,23815
820,36312,-1452,34860
821,46219,-924,35126
822,91152,-1823,69276
823,40202,1608,36986
824,17836,713,20511
825,17475,350,7165
826,38997,-390,28078
827,91017,1820,70083
828,48069,1923,20670
829,66465,1994,71782
830,65184,-1956,73006
831,27951,-839,30746
832,93440,-3738,77555
833,63746,0,73945
834,78727,-2362,81876
835,57380,-2295,37297
836,22312,-446,13833
837,11742,-587,11037
838,97681,3907,100611
839,84680,4234,67744
840,70124,3506,67319
841,34317,1373,37749
842,13786,276,11856
843,37174,1115,23048
844,40507,405,45773
845,89172,3567,49045
846,63292,-1266,67722
847,80328,4016,72295
848,61185,1224,36711
849,11126,-334,9012
850,99009,1980,114850
851,20125,1006,19723
852,89824,4491,47607
853,54383,2719,30998
854,58427,2337,40899
855,23928,-957,26799
856,93821,1876,69428
857,79446,1589,32573
858,60535,1211,41769
859,54927,-1099,65912
860,88840,-1777,50639
861,72639,-1453,61743
862,28848,-288,23944
863,37732,0,24148
864,43998,-1760,44438
865,29855,1493,28064
866,78465,2354,58849
867,56316,0,58005
868,26727,535,15769
869,34816,348,23327
870,13148,0,8678
871,78547,3142,86402
872,42543,851,35736
873,64567,3228,27118
874,51621,-2581,30973
875,88805,-888,50619
876,82317,2470,63384
877,55589,0,32798
878,38076,1904,19800
879,35153,-1758,24959
880,56082,-2804,51035
881,82678,-2480,91773
882,29934,-1497,31131
883,95886,-2877,108351
884,97391,974,101287
885,22576,677,15352
886,99849,0,117822
887,40422,0,23849
888,26695,-1335,21089
889,89320,4466,44660
890,36233,1087,38769
891,15608,-312,13891
892,33400,-1002,31396
893,19820,-396,20811
894,84933,3397,75590
895,66986,1340,42871
896,94382,-1888,100045
897,76868,-2306,31516
898,23895,-956,17682
899,19729,-395,23478
900,81176,812,81988
901,91238,3650,58392
902,26670,-533,30937
903,99170,0,100162
904,52715,0,23722
905,82951,4148,79633
906,76560,-3828,68138
907,48410,484,55187
908,15423,-771,12955
909,11818,0,12527
910,94384,0,95328
911,33565,1678,27859
912,73426,-1469,69020
913,31375,-1255,16315
914,35977,1799,25903
915,17333,-173,10400
916,15719,-472,16977
917,14457,145,14602
918,70074,-2803,59563
919,91877,1838,90039
920,24098,-723,23857
921,38638,1932,19705
922,82716,0,61210
923,69048,1381,31762
924,12516,375,7009
925,39562,791,26111
926,97647,2929,115223
927,41805,0,30518
928,82631,-1653,78499
929,55791,-1674,31801
930,51236,-2049,28180
931,52227,2611,25591
932,36779,-368,27584
933,63274,-1898,26575
934,60867,-2435,54780
935,99269,-4963,112174
936,98076,-981,40211
937,66090,-2644,56837
938,60760,1823,26734
939,97171,1943,78709
940,47619,952,37143
941,71490,715,82928
942,98266,3931,79595
943,46164,-923,36008
944,53873,0,34479
945,40097,-1604,27667
946,44785,2239,49711
947,27067,541,17323
948,13296,-266,12099
949,13721,-686,12486
950,37707,1885,25641
951,86426,864,48399
952,61571,-3079,32017
953,45036,-2252,21617
954,35942,719,39177
955,68473,685,65049
956,17779,533,7289
957,66076,1982,29073
958,26666,1333,25333
959,21734,-435,8911
960,35421,1063,19836
961,12669,-507,14189
962,72352,-724,46305
963,69171,3459,55337
964,43568,-1307,41390
965,35631,1782,40619
966,88674,4434,44337
967,99064,1981,68354
968,92455,925,100776
969,44178,0,31366
970,89969,900,73775
971,35148,1757,28470
972,51423,0,52451
973,56654,2266,31726
974,72524,725,81227
975,31599,632,26543
976,84005,-4200,35282
977,28346,1417,19275
978,72254,0,46243
979,55154,-2206,62876
980,77931,779,73255
981,21276,-638,13617
982,80591,1612,59637
983,75401,-2262,82187
984,21353,-641,12598
985,70571,-3529,84685
986,24440,489,15642
987,37157,-1115,29354
988,93622,-936,86132
989,82351,3294,88116
990,86456,-3458,69165
991,46557,466,19088
992,39356,787,46834
993,85403,-3416,102484
994,98678,-3947,43418
995,76178,-762,53325
996,28579,0,34295
997,82534,4127,37966
998,66858,0,60172
999,18849,-188,12440
1000,41673,2084,21670
